OTU_ID,taxonomy
ESV185,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__sindonia
ESV186,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Hyaloscypha;NA
ESV187,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Clavariaceae;g__Clavaria;s__fumosa
ESV188,p__Ascomycota;c__Saccharomycetes;o__Saccharomycetales;NA;NA;NA
ESV189,p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae;NA;NA
ESV190,p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Amphisphaeriaceae;g__Polyscytalum;s__eucalyptigenum
ESV191,p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__glabrum
ESV192,p__Ascomycota;c__Dothideomycetes;NA;NA;NA;NA
ESV193,p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;NA;NA
ESV194,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__arcangeliana
ESV195,p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Geoglossum;NA
ESV196,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Gliophorus;NA
ESV197,p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Phialemonium;NA
ESV198,p__Ascomycota;c__Eurotiomycetes;o__Sclerococcales;f__Dactylosporaceae;g__Dactylospora;s__vrijmoediae
ESV199,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Coryne;s__atrovirens
ESV200,p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Trimorphomycetaceae;g__Sugitazyma;s__miyagiana
ESV201,p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;NA
ESV202,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Dermateaceae;g__Rhizodermea;s__veluwensis
ESV203,p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Chaetomellaceae;g__Pilidium;NA
ESV204,p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Orbilia;NA
ESV205,p__Ascomycota;c__Sordariomycetes;o__Chaetosphaeriales;f__Chaetosphaeriaceae;g__Chloridium;NA
ESV206,p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Ceraceomyces;s__microsporus
ESV207,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Ophiocordycipitaceae;NA;NA
ESV208,p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Cylindrosympodium;s__lauri
ESV209,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Bolbitiaceae;g__Agrocybe;s__erebia
ESV210,p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Cantharellales_fam_Incertae_sedis;g__Sistotrema;NA
ESV211,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__risigallina
ESV212,p__Ascomycota;c__Leotiomycetes;o__Thelebolales;f__Pseudeurotiaceae;g__Gymnostellatospora;s__canadensis
ESV213,p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Xenasmataceae;g__Xenasmatella;s__vaga
ESV214,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__acuta
ESV215,p__Ascomycota;c__Sordariomycetes;o__Hypoceales;f__Amplistromataceae;g__Amplistroma;s__erinaceum
ESV216,p__Ascomycota;c__Geoglossomycetes;o__Geoglossales;f__Geoglossaceae;g__Hemileucoglossum;s__alveolatum
ESV217,p__Basidiomycota;c__Agaricomycetes;NA;NA;NA;NA
ESV218,p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Lactarius;s__cinereus
ESV219,p__Basidiomycota;c__Agaricomycetes;o__Cantharellales;f__Clavulinaceae;g__Clavulina;NA
ESV220,p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreaceae;g__Trichoderma;s__pleuroticola
ESV221,p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Glomus;NA
ESV222,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Cortinariaceae;g__Cortinarius;s__scaurus
ESV223,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Entolomataceae;g__Entoloma;NA
ESV224,p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__alliacea
ESV225,p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Mycena;s__zephirus
ESV226,p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Phaeotremellaceae;g__Phaeotremella;s__skinneri
ESV227,p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Cephalothecaceae;g__Cephalotheca;NA
